fileId,fileUrls for custom selected,size
7806836529,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/251/AERDT_L2_VIIRS_SNPP.A2023251.0748.002.2023251201518.nc,14067251
7806836530,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/251/AERDT_L2_VIIRS_SNPP.A2023251.0754.002.2023251201526.nc,9713289
7807387317,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/252/AERDT_L2_VIIRS_SNPP.A2023252.0548.002.2023252181605.nc,15257098
7807387316,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/252/AERDT_L2_VIIRS_SNPP.A2023252.0554.002.2023252181610.nc,10155383
7807423336,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/252/AERDT_L2_VIIRS_SNPP.A2023252.0730.002.2023252195551.nc,12821399
7807425397,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/252/AERDT_L2_VIIRS_SNPP.A2023252.0736.002.2023252200559.nc,9743157
7807809665,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/253/AERDT_L2_VIIRS_SNPP.A2023253.0530.002.2023253175649.nc,14807583
7807810263,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/253/AERDT_L2_VIIRS_SNPP.A2023253.0536.002.2023253180645.nc,9665989
7807839485,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/253/AERDT_L2_VIIRS_SNPP.A2023253.0712.002.2023253194631.nc,13473685
7807839480,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/253/AERDT_L2_VIIRS_SNPP.A2023253.0718.002.2023253194630.nc,8527470
7808484355,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/254/AERDT_L2_VIIRS_SNPP.A2023254.0654.002.2023254191715.nc,12530142
7808494616,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/254/AERDT_L2_VIIRS_SNPP.A2023254.0700.002.2023254192722.nc,8089280
